MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,OverallQual_square,MasVnrArea_square,TotalBsmtSF_square,1stFlrSF_square,GrLivArea_square,FullBath_square,TotRmsAbvGrd_square,Fireplaces_square,GarageCars_square,GarageArea_square,BsmtFinSF1_square,OverallQual_cube,MasVnrArea_cube,TotalBsmtSF_cube,1stFlrSF_cube,GrLivArea_cube,FullBath_cube,TotRmsAbvGrd_cube,Fireplaces_cube,GarageCars_cube,GarageArea_cube,BsmtFinSF1_cube,OverallQual_sqrt,MasVnrArea_sqrt,TotalBsmtSF_sqrt,1stFlrSF_sqrt,GrLivArea_sqrt,FullBath_sqrt,TotRmsAbvGrd_sqrt,Fireplaces_sqrt,GarageCars_sqrt,GarageArea_sqrt,BsmtFinSF1_sqrt
60,RL,65.0,8450,Pave,NA,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,706.0,Unf,0.0,150.0,856.0,GasA,Ex,Y,SBrkr,856,854,0,1710,1.0,0.0,2,1,3,1,Gd,8,Typ,0,NA,Attchd,2003.0,RFn,2.0,548.0,TA,TA,Y,0,61,0,0,0,0,NA,NA,NA,0,2,2008,WD,Normal,49,38416.0,732736.0,732736,2924100,4,64,0,4.0,300304.0,498436.0,343,7529536.0,627222016.0,627222016,5000211000,8,512,0,8.0,164566592.0,351895816.0,2.6457513110645907,14.0,29.257477676655586,29.257477676655586,41.352146256270665,1.4142135623730951,2.8284271247461903,0.0,1.4142135623730951,23.40939982143925,26.570660511172846
20,RL,80.0,9600,Pave,NA,Reg,Lvl,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978.0,Unf,0.0,284.0,1262.0,GasA,Ex,Y,SBrkr,1262,0,0,1262,0.0,1.0,2,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,RFn,2.0,460.0,TA,TA,Y,298,0,0,0,0,0,NA,NA,NA,0,5,2007,WD,Normal,36,0.0,1592644.0,1592644,1592644,4,36,1,4.0,211600.0,956484.0,216,0.0,2009916728.0,2009916728,2009916728,8,216,1,8.0,97336000.0,935441352.0,2.449489742783178,0.0,35.52463933666322,35.52463933666322,35.52463933666322,1.4142135623730951,2.449489742783178,1.0,1.4142135623730951,21.447610589527216,31.272991542223778
60,RL,68.0,11250,Pave,NA,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,486.0,Unf,0.0,434.0,920.0,GasA,Ex,Y,SBrkr,920,866,0,1786,1.0,0.0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,2001.0,RFn,2.0,608.0,TA,TA,Y,0,42,0,0,0,0,NA,NA,NA,0,9,2008,WD,Normal,49,26244.0,846400.0,846400,3189796,4,36,1,4.0,369664.0,236196.0,343,4251528.0,778688000.0,778688000,5696975656,8,216,1,8.0,224755712.0,114791256.0,2.6457513110645907,12.727922061357855,30.331501776206203,30.331501776206203,42.261093218230876,1.4142135623730951,2.449489742783178,1.0,1.4142135623730951,24.657656011875904,22.045407685048602
70,RL,60.0,9550,Pave,NA,IR1,Lvl,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,216.0,Unf,0.0,540.0,756.0,GasA,Gd,Y,SBrkr,961,756,0,1717,1.0,0.0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,1998.0,Unf,3.0,642.0,TA,TA,Y,0,35,272,0,0,0,NA,NA,NA,0,2,2006,WD,Abnorml,49,0.0,571536.0,923521,2948089,1,49,1,9.0,412164.0,46656.0,343,0.0,432081216.0,887503681,5061868813,1,343,1,27.0,264609288.0,10077696.0,2.6457513110645907,0.0,27.49545416973504,31.0,41.43669871020132,1.0,2.6457513110645907,1.0,1.7320508075688772,25.337718918639855,14.696938456699069
60,RL,84.0,14260,Pave,NA,IR1,Lvl,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,655.0,Unf,0.0,490.0,1145.0,GasA,Ex,Y,SBrkr,1145,1053,0,2198,1.0,0.0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,2000.0,RFn,3.0,836.0,TA,TA,Y,192,84,0,0,0,0,NA,NA,NA,0,12,2008,WD,Normal,64,122500.0,1311025.0,1311025,4831204,4,81,1,9.0,698896.0,429025.0,512,42875000.0,1501123625.0,1501123625,10618986392,8,729,1,27.0,584277056.0,281011375.0,2.8284271247461903,18.708286933869708,33.83784863137726,33.83784863137726,46.88283267892417,1.4142135623730951,3.0,1.0,1.7320508075688772,28.91366458960192,25.592967784139454
50,RL,85.0,14115,Pave,NA,IR1,Lvl,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,Wood,Gd,TA,No,GLQ,732.0,Unf,0.0,64.0,796.0,GasA,Ex,Y,SBrkr,796,566,0,1362,1.0,0.0,1,1,1,1,TA,5,Typ,0,NA,Attchd,1993.0,Unf,2.0,480.0,TA,TA,Y,40,30,0,320,0,0,NA,MnPrv,Shed,700,10,2009,WD,Normal,25,0.0,633616.0,633616,1855044,1,25,0,4.0,230400.0,535824.0,125,0.0,504358336.0,504358336,2526569928,1,125,0,8.0,110592000.0,392223168.0,2.23606797749979,0.0,28.21347195933177,28.21347195933177,36.90528417449187,1.0,2.23606797749979,0.0,1.4142135623730951,21.908902300206645,27.055498516937366
20,RL,75.0,10084,Pave,NA,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1369.0,Unf,0.0,317.0,1686.0,GasA,Ex,Y,SBrkr,1694,0,0,1694,1.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2004.0,RFn,2.0,636.0,TA,TA,Y,255,57,0,0,0,0,NA,NA,NA,0,8,2007,WD,Normal,64,34596.0,2842596.0,2869636,2869636,4,49,1,4.0,404496.0,1874161.0,512,6434856.0,4792616856.0,4861163384,4861163384,8,343,1,8.0,257259456.0,2565726409.0,2.8284271247461903,13.638181696985855,41.060930335295616,41.15823125451335,41.15823125451335,1.4142135623730951,2.6457513110645907,1.0,1.4142135623730951,25.219040425836983,37.0
60,RL,60.0,10382,Pave,NA,IR1,Lvl,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859.0,BLQ,32.0,216.0,1107.0,GasA,Ex,Y,SBrkr,1107,983,0,2090,1.0,0.0,2,1,3,1,TA,7,Typ,2,TA,Attchd,1973.0,RFn,2.0,484.0,TA,TA,Y,235,204,228,0,0,0,NA,NA,Shed,350,11,2009,WD,Normal,49,57600.0,1225449.0,1225449,4368100,4,49,4,4.0,234256.0,737881.0,343,13824000.0,1356572043.0,1356572043,9129329000,8,343,8,8.0,113379904.0,633839779.0,2.6457513110645907,15.491933384829668,33.27160951922825,33.27160951922825,45.71651780264984,1.4142135623730951,2.6457513110645907,1.4142135623730951,1.4142135623730951,22.0,29.30870177950569
50,RM,51.0,6120,Pave,NA,Reg,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,952.0,952.0,GasA,Gd,Y,FuseF,1022,752,0,1774,0.0,0.0,2,0,2,2,TA,8,Min1,2,TA,Detchd,1931.0,Unf,2.0,468.0,Fa,TA,Y,90,0,205,0,0,0,NA,NA,NA,0,4,2008,WD,Abnorml,49,0.0,906304.0,1044484,3147076,4,64,4,4.0,219024.0,0.0,343,0.0,862801408.0,1067462648,5582912824,8,512,8,8.0,102503232.0,0.0,2.6457513110645907,0.0,30.854497241083024,31.96873472629156,42.118879377305376,1.4142135623730951,2.8284271247461903,1.4142135623730951,1.4142135623730951,21.633307652783937,0.0
190,RL,50.0,7420,Pave,NA,Reg,Lvl,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851.0,Unf,0.0,140.0,991.0,GasA,Ex,Y,SBrkr,1077,0,0,1077,1.0,0.0,1,0,2,2,TA,5,Typ,2,TA,Attchd,1939.0,RFn,1.0,205.0,Gd,TA,Y,0,4,0,0,0,0,NA,NA,NA,0,1,2008,WD,Normal,25,0.0,982081.0,1159929,1159929,1,25,4,1.0,42025.0,724201.0,125,0.0,973242271.0,1249243533,1249243533,1,125,8,1.0,8615125.0,616295051.0,2.23606797749979,0.0,31.480152477394387,32.817678162843876,32.817678162843876,1.0,2.23606797749979,1.4142135623730951,1.0,14.317821063276353,29.171904291629644
